"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"PinHeader_1,PinHeader_1";"PinHeader_1x07_P2.54mm_Vertical";2;"PinHeader_1x07_P2.54mm_Vertical";;;
2;"Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button";"SW_PUSH_6mm";30;"SW_PUSH_6mm";;;
