Comment,Designator,Quantity:,Footprint,JLCPCB Part#(optional)
Push Button 6mm,Button,30,SW_PUSH_6mm,C83205
Pin Header 2x07 2.54mm Vertical,PinHeader,1,PinHeader_2x07_P2.54mm_Vertical,
