Id,Designator,Footprint,Quantity,Comment,JLCPCB Part #,Link
1,"TFT Screen 3.5"" st7796 320*480 ips ",~,5,"TFT Screen 3.5"" st7796 320*480 ips Touch",~,https://pt.aliexpress.com/item/1005005995931721.html?spm=a2g0o.order_list.order_list_main.31.288ecaa4EGynx2&gatewayAdapt=glo2bra
2,ESP32 S3 8mb PSRAM 16mb Flash,~,5,ESP32-S3-DevKitC-1 ,~,https://pt.aliexpress.com/item/1005007215982839.html?spm=a2g0o.order_list.order_list_main.46.288ecaa4EGynx2&gatewayAdapt=glo2bra
3,Screw M3 x  6mm,~,30,m3 preto 304 aço inoxidável allen 6mm,~,"https://pt.aliexpress.com/item/1005005070119421.html?pdp_ext_f=%7B""sku_id""%3A""12000031519353304""%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2bra"
