Id,Designator,Footprint,Quantity,Comment,JLCPCB Part #,Link
1,ESP32PinSocket_1,PinSocket_1x21_P2.54mm_Vertical,1,PinSocket_1x21_P2.54mm_Vertical,C2883738,https://jlcpcb.com/partdetail/XKBConnection-X6511FV_21C85D32/C2883738
2,ESP32PinSocket_2,PinSocket_1x21_P2.54mm_Vertical,1,PinSocket_1x21_P2.54mm_Vertical,C2883738,https://jlcpcb.com/partdetail/XKBConnection-X6511FV_21C85D32/C2883738
3,KeyboardSocket_1,PinSocket_1x07_P2.54mm_Vertical,1,PinSocket_1x07_P2.54mm_Vertical,C124418,https://jlcpcb.com/partdetail/125693-B_2200S07PA120/C124418
4,KeyboardSocket_2,PinSocket_1x07_P2.54mm_Vertical,1,PinSocket_1x07_P2.54mm_Vertical,C124418,https://jlcpcb.com/partdetail/125693-B_2200S07PA120/C124418
5,FlatCable_Header,PinHeader_1x14_P1.00mm_Vertical,1,PinHeader_1x14_P1.00mm_Vertical,C30607496,https://jlcpcb.com/partdetail/XUNPU-PH1_0_0114PZD/C30607496
6,FlatCableSocket,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,1,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,C5378715,https://jlcpcb.com/partdetail/HRS_Hirose-FH12_14S_0_5SH_55/C5378715
